name,year_start,year_end,position,height,weight,birth_date,college
Joe Young,2016,2018,G,6-2,180,"June 27, 1992",University of Oregon
Korleone Young,1999,1999,F,6-7,213,"December 31, 1978",
Michael Young,1985,1990,F-G,6-7,220,"January 2, 1961",University of Houston
Nick Young,2008,2018,G-F,6-7,210,"June 1, 1985",University of Southern California
Perry Young,1987,1987,G,6-5,210,"August 4, 1963",Virginia Polytechnic Institute and State University
Sam Young,2010,2013,F,6-6,220,"June 1, 1985",University of Pittsburgh
Thaddeus Young,2008,2018,F,6-8,221,"June 21, 1988",Georgia Institute of Technology
Tim Young,2000,2000,C,7-0,220,"February 6, 1976",Stanford University
Sun Yue,2009,2009,G,6-9,205,"November 6, 1985",
Max Zaslofsky,1947,1956,G-F,6-2,170,"December 7, 1925",St. John's University
Zeke Zawoluk,1953,1955,F-C,6-7,215,"October 13, 1930",St. John's University
Cody Zeller,2014,2018,C-F,7-0,240,"October 5, 1992",Indiana University
Dave Zeller,1962,1962,G,6-1,175,"June 8, 1939",Miami University
Gary Zeller,1971,1972,G,6-3,205,"November 20, 1947",Drake University
Harry Zeller,1947,1947,C-F,6-4,210,"July 10, 1919",Washington & Jefferson College
Luke Zeller,2013,2013,C,6-11,245,"April 7, 1987",University of Notre Dame
Tyler Zeller,2013,2018,F-C,7-0,253,"January 17, 1990",University of North Carolina
Tony Zeno,1980,1980,F,6-8,210,"October 1, 1957",Arizona State University
Phil Zevenbergen,1988,1988,C,6-10,230,"April 13, 1964",University of Washington
Wang Zhizhi,2001,2005,C,7-0,255,"July 8, 1977",
George Zidek,1996,1998,C,7-0,250,"August 2, 1973","University of California, Los Angeles"
Derrick Zimmerman,2006,2006,G,6-3,195,"December 2, 1981",Mississippi State University
Stephen Zimmerman,2017,2017,C,7-0,240,"September 9, 1996","University of Nevada, Las Vegas"
Paul Zipser,2017,2018,G-F,6-8,215,"February 18, 1994",
Ante Zizic,2018,2018,F-C,6-11,250,"January 4, 1997",
Jim Zoet,1983,1983,C,7-1,240,"December 20, 1953",Kent State University
Bill Zopf,1971,1971,G,6-1,170,"June 7, 1948",Duquesne University
Ivica Zubac,2017,2018,C,7-1,265,"March 18, 1997",
Matt Zunic,1949,1949,G-F,6-3,195,"December 19, 1919",George Washington University
Muhammadqodir,2020,2022,T,120,65,"Aug 28, 2004",Insitut
